County;Subcounty;Ward
;;Kilimani
;;Kawangware
;;Gatina
;;Kileleshwa
;;Kabiro
;;Mutuini
;;Ngando
;;Riruta
;;Uthiru-Ruthimitu
;;Waithaka
;;Karen
;;Nairobi West
;;Mugumoini
;;South 'C'
;;Nyayo Highrise
;;Laini Saba
;;Lindi
;;Woodley/Kenyatta Golf Course
;;Serangombe
;;Githurai
;;Kahawa West
;;Zimmerman
;;Roysambu
;;Kahawa
;;Clay City
;;Mwiki
;;Kasarani
;;Njiru
;;Ruai
;;Babadogo
;;Utalii
;;Mathare North
;;Lucky Summer
;;Korogocho
;;Imara Daima
;;Kwa Njenga
;;Kwa Reuben
;;Pipeline
;;Kware
;;Kariobangi North
;;Dandora Area I
;;Dandora Area Ii
;;Dandora Area Iii
;;Dandora Area Iv
;;Kayole North
;;Kayole Central
;;Kayole South
;;Komarock
;;Matopeni/Spring Valley
;;Upper Savanna
;;Lower Savanna
;;Embakasi
;;Utawala
;;Mihang'o
;;Umoja I
;;Umoja Ii
;;Mowlem
;;Kariobangi South
;;Maringo/Hamza
;;Viwandani
;;Harambee
;;Makongeni
;;Pumwani
;;Eastleigh North
;;Eastleigh South
;;Air Base
;;California
;;Nairobi Central
;;Ngara
;;Pangani
;;Ziwani/Kariokor
;;Land Mawe
;;Nairobi South
;;Hospital
;;Mabatini
;;Huruma
;;Ngei
;;Mlango Kubwa
;;Kiamaiko
;;Mariashoni
;;Elburgon
;;Turi
;;Molo
;;Mau Narok
;;Mauche
;;Kihingo
;;Nessuit
;;Lare
;;Njoro
;;Biashara
;;Hells Gate
;;Lake View
;;Maai Mahiu
;;Maiela
;;Olkaria
;;Naivasha East
;;Viwanda
;;Gilgil
;;Elementaita
;;Mbaruk/Eburru
;;Malewa West
;;Murindat
;;Amalo
;;Keringet
;;Kiptagich
;;Tinet
;;Kiptororo
;;Nyota
;;Sirikwa
;;Kamara
;;Subukia
;;Waseges
;;Kabazi
;;Menengai West
;;Soin
;;Visoi
;;Mosop
;;Kaptumoi/Kaboi
;;Solai
;;Dundori
;;Kabatini
;;Kiamaina
;;Lanet/Umoja
;;Bahati
;;Barut
;;London
;;Kaptembwo
;;Kapkures
;;Rhoda
;;Shaabab
;;Biashara
;;Kivumbini
;;Flamingo
;;Menengai
;;Nakuru East
;;Songhor/Soba
;;Tinderet
;;Chemilil/Chemase
;;Kapsimotwo
;;Kibwareng
;;Terik
;;Kemeloi-Maraba
;;Kobujoi
;;Koyo/Ndurio
;;Nandi Hills
;;Chepkunyuk
;;Ollessos
;;Kapchorua
;;Chemundu/Kapng'etunyi
;;Kosirai
;;Lelmok/Ngechek
;;Kaptel/Kamoiywo
;;Kiptuiya
;;Chepkumia
;;Kapkangani
;;Kapsabet
;;Kilibwoni
;;Cheterwai
;;Kipkaren
;;Kurgung/Surungai
;;Kabiyet
;;Ndalat
;;Kabisanga
;;Sangalo/Kebulonik
;;Kilgoris Central
;;Keyian
;;Angata Barikoi
;;Shankoe
;;Kimentet
;;Lolgorian
;;Ilkerin
;;Ololmasani
;;Mogondo
;;Kapsasian
;;Olposimoru
;;Olokurto
;;Narok Town
;;Nkareta
;;Ekerenyo
;;Olorropil
;;Melili
;;Mosiro
;;Ildamat
;;Keekonyokie
;;Suswa
;;Maji Moto/Naroosura
;;Ololulung'a
;;Melelo
;;Loita
;;Sogoo
;;Sagamian
;;Ilmotiok
;;Mara
;;Siana
;;Naikarra
;;Rigoma
;;Gachuba
;;Kemera
;;Magombo
;;Manga
;;Gesima
;;Nyamaiya
;;Bogichora
;;Bosamaro
;;Bonyamatuta
;;Township
;;Itibo
;;Bomwagamo
;;Bokeira
;;Magwagwa
;;Mekenene
;;Kiabonyoru
;;Nyansiongo
;;Esise
;;Engineer
;;Gathara
;;North Kinangop
;;Murungaru
;;Njabini/Kiburu
;;Nyakio
;;Githabai
;;Mugumu
